codigo_estacion,codigo_parada,nombre_parada,linea,direccion_parada,cp_parada,distrito_parada
1019,609,VIRGEN DEL PUERTO-PTE.SEGOVIA,33,Paseo de la Virgen del Puerto 5,28005,1
1019,609,VIRGEN DEL PUERTO-PTE.SEGOVIA,39,Paseo de la Virgen del Puerto 5,28005,1
1019,609,VIRGEN DEL PUERTO-PTE.SEGOVIA,41,Paseo de la Virgen del Puerto 5,28005,1
1019,609,VIRGEN DEL PUERTO-PTE.SEGOVIA,62,Paseo de la Virgen del Puerto 5,28005,1
1019,609,VIRGEN DEL PUERTO-PTE.SEGOVIA,138,Paseo de la Virgen del Puerto 5,28005,1
1019,609,VIRGEN DEL PUERTO-PTE.SEGOVIA,C1,Paseo de la Virgen del Puerto 5,28005,1
1019,609,VIRGEN DEL PUERTO-PTE.SEGOVIA,N18,Paseo de la Virgen del Puerto 5,28005,1
1019,609,VIRGEN DEL PUERTO-PTE.SEGOVIA,N19,Paseo de la Virgen del Puerto 5,28005,1
1019,609,VIRGEN DEL PUERTO-PTE.SEGOVIA,NC1,Paseo de la Virgen del Puerto 5,28005,1
6207,5859,CARDENAL V.ENRIQUE Y TARANCON-A.GADES,145,Calle del Cardenal Vicente Enrique y Tarancón 2,28051,18
5022,2667,LLANO CASTELLANO-VALDEGOVIA,66,Avda del Llano Castellano 51,28034,8
5022,2667,LLANO CASTELLANO-VALDEGOVIA,124,Avda del Llano Castellano 51,28034,8
5022,2667,LLANO CASTELLANO-VALDEGOVIA,137,Avda del Llano Castellano 51,28034,8
5022,2667,LLANO CASTELLANO-VALDEGOVIA,N24,Avda del Llano Castellano 51,28034,8
5022,2667,LLANO CASTELLANO-VALDEGOVIA,SE704,Avda del Llano Castellano 51,28034,8
5836,4120,PASEO ESPERANZA-BAÑOS DE MONTEMAYOR,62,Paseo de la Esperanza 18,28005,2
5833,4154,PZA.BEATA MARIA ANA DE JESUS,62,Plaza de la Beata María Ana de Jesús 10,28045,2
5833,4154,PZA.BEATA MARIA ANA DE JESUS,76,Plaza de la Beata María Ana de Jesús 10,28045,2
5834,4150,PASEO CHOPERA-PZA.GRAL.MAROTO,62,Paseo de la Chopera 41,28045,2
5835,4118,PASEO ESPERANZA-VALLEJO NAJERA,62,Paseo de la Esperanza 10,28005,2
5837,4121,ARGANDA-PASEO YESERIAS,62,Calle de Arganda 50,28005,2
